idx,smiles,homolumogap
21571,CCC(C)OC,17.17759
17240,CCOC(CC)CC,17.0029
6723,CC(C)CCN,16.48262
4953,CC(C)CCC(C)N,16.33432
45291,CCC(CN)CCN,15.99363
41793,CC(C)(N)CCCO,16.04343
39846,CCC(C)(CO)NC,15.23662
3024,CNCC(C)N(C)C,15.56778
18662,COCC(N)CCN,16.48752
30635,CCNCC(C)O,15.61295
34643,CC(C)C(O)C(C)O,16.89242
1076,CC(CN)OCCN,16.54466
16932,COCCNCCN,15.90057
5910,CC(CCO)N(C)C,15.30927
9298,COCC(C)(O)CN,16.20833
11807,COCCC(C)CO,17.35229
13210,CC(C)(N)C(N)CN,15.30193
12594,CCCCCCNC,15.99282
10988,CCC(CC)CO,17.15038
39221,CN(C)C,15.53866
33862,CCC(CO)CCO,16.71283
17673,CCCCCO,17.59664
40175,CC(CN)OCCO,16.59092
41672,COCCC(N)CO,16.38874
23451,CCCC(CN)OC,16.40507
26190,NC(CO)CCO,16.23717
31668,CCOCC(C)N,16.4048
31063,CNCC(O)COC,15.632
26316,CCCCCNC,16.02057
2387,CC(N)CO,16.54711
24595,CCC(C)C(N)CO,16.18901
44925,NCCC(CN)CN,15.59934
22588,COC(CO)CCN,16.34711
41784,CCC(CN)CNC,15.43798
45680,CCC(C)CC(C)N,16.24751
11464,CCC(CC)COC,17.20371
9589,CCC(C)C(C)(C)O,16.90766
37096,CC(O)C(N)CCO,15.71254
36207,CCNCC(C)(C)C,15.65105
11988,CCC(CN)NC,15.28097
45610,CNC,16.09813
8397,CCC(C)C(N)CN,15.80424
15042,CCC(O)C(C)C,17.22358
8894,CCCOCCOC,17.62304
33849,CC(CO)OCCN,16.62031
46479,CNC(CO)C(C)N,15.47907
31958,CC(N)C(C)(O)CO,16.17486
11761,COC(C)CC(C)O,16.93432
42879,CCOCCC(C)N,16.26466
19310,CCC(CO)CNC,15.43118
29877,CCC(N)C(C)(C)O,16.19554
36394,CCC(C)NCCN,15.66438
44164,CC(N)CC(C)O,16.04452
9380,CCN,16.58058
41648,CN(C)CC(N)CO,15.49213
23290,COCCCN(C)C,15.60696
2525,CCOCCCCO,17.53705
3562,CCNC(C)CNC,15.71037
21361,CNCC(C)C(C)N,15.80452
1152,CC(N)C(O)CCN,15.91799
45379,CC(C)CC(C)O,17.25052
22854,CNC(CO)CCO,15.86112
17576,CCC(COC)NC,15.69404
17344,CNCCCCCN,15.96425
9793,NCCOCCCO,16.67337
7512,CNCC(O)C(C)O,15.50002
22490,CCC(O)C(C)(C)O,16.68861
46073,CC(N)CC(C)N,16.16697
23073,CNCCC(C)(C)N,15.61866
14044,CNCC(C)CNC,15.89214
26191,CCCC(C)C(C)O,17.28834
2886,CC(C)OCCCN,16.52344
3253,CCC(C)(O)CCN,15.90302
21075,CNC(CN)C(C)C,15.66438
3065,CNCCC(C)(C)O,15.88016
17819,CCC(OC)OC,17.92209
44062,COCCCOC,17.47936
23799,COCC(N)C(C)C,16.38031
31223,CC(CN)CCCN,16.44344
28188,CC(N)COCCO,16.19826
17152,CC(C)C(N)CN,15.78193
21619,CNCCC(C)OC,15.71526
21538,CC(O)C(C)(C)CN,16.21894
24557,COCOC(C)C,17.70032
13394,CCOCCN(C)C,15.68043
7290,CNCC(C)(C)O,16.11364
18283,CCCNCCCN,15.98221
29078,CC(N)C(C)(C)O,15.84316
253,CCC(C)OCOC,17.43828
11945,CCCC(N)C(C)N,15.75554
15754,CCOCC,17.66222
40387,CCC(C)C(C)CC,17.53406
35908,CNCC(N)C(C)C,15.71009
3818,CCC(C)(N)CN,15.69241
3590,CCNCC(N)CN,15.49785
27184,CCC(C)(C)CCN,16.17323
42313,CNC(C)CCOC,15.74792
32257,CCOC(C)CNC,15.55173
35436,COCC(N)CN,16.13949
12090,CC(CO)CCN,16.51174
23713,CC(C)CNCCN,15.71907
23547,CN(C)C(CO)CO,15.6788
2160,CNC(CN)C(C)O,15.42465
10790,CC(N)C(N)CCN,15.61622
28522,NCC(N)CCCO,16.14955
10051,CCC(N)C(C)N,15.73268
25364,CC(N)CCC(C)N,16.12343
8935,CC(O)C(C)C(C)O,17.04589
8462,CC(O)C(N)CCN,15.52125
5147,CCCC(O)CO,17.08344
43240,CCCOCC(C)N,16.34221
14429,COCCC(C)CN,16.41214
4369,CCC(C)CNC,16.00996
33463,CCC(N)CNC,15.82003
9394,CCCC(O)CNC,16.03309
45152,CC(CN)(CN)CN,15.83282
403,CNC(C)CCCN,15.9335
17625,CC(C)(C)CO,17.03365
34228,CCCC(C)(C)CC,17.38304
15046,CNCCC(C)(C)C,15.62547
40584,COCC(N)CCO,16.34928
18052,CNC(C)CN,15.79118
39617,CC(N)CNCCO,15.53921
5127,CNCCCCN,16.00615
19855,CCC(OC)C(C)N,16.2886
42707,CCC(C)CN,16.45296
6484,CCCCC(N)CC,16.1267
45180,CCNC(C)CCN,15.82057
40794,CC(N)C(C)(N)CO,15.73867
31205,CCCC(CN)CN,15.65377
46584,CCCC(C)N,16.23173
353,CNC(C)C(C)O,15.31662
21709,COCCC(C)(C)O,16.97705
32712,CC(O)CNCCO,15.7403
13663,CCCCCCC,17.96127
12380,COC(CCN)OC,16.53595
27481,CCNCCCO,16.02193
32207,CC(O)CN,16.73296
9762,CNC(C)(C)CCN,15.34138
34752,CNCCOCOC,16.1433
33007,CCCC(C)(C)C,17.59909
23446,CNCCC(N)CN,15.66982
45462,CCNCC(C)(C)N,15.7003
20928,CC(O)C(N)C(C)O,15.90302
40994,CCC(C)(CC)CC,17.33569
41044,CC(C)C(C)C(C)O,17.0799
34087,CCN(C)CC,15.57213
44220,COCC(C)C(C)O,17.33977
17235,CC(C)OC(C)CN,16.46248
21267,CCC(O)C(N)CO,16.18683
37100,CC(N)C(C)O,16.55718
8598,CCC(C)CC(C)O,17.26821
40273,CC,19.88864
7921,CNCC(O)CCN,15.55662
2994,CCOC(C)OC,17.5112
5299,CN(C)CCN(C)C,15.49975
36669,CC(N)C(C)N,15.84343
27056,COCCC(C)(C)N,16.0867
41226,CNC(CO)COC,16.42303
4833,CC(CCN)N(C)C,15.31199
30216,CCC(N)CC(C)N,16.11364
15968,CNCC(N)CCO,15.62819
39442,CCOCCCOC,17.42358
20185,CCNCCN,15.87499
34285,NCCCC(O)CN,16.1803
20114,COCC(C)CCN,16.60997
25912,CC(N)(CO)CCO,16.12887
13268,NCCCCCN,16.47854
14960,CNC(C)C(C)OC,15.78166
57,CC(C)NC(C)CO,15.73186
13775,CC(N)C(N)CO,16.19799
43872,CCC(C)(N)CCN,16.00942
18785,CCC(C)(C)C,17.70168
30035,CCC(OC)C(C)C,16.88153
