Actual,Predicted
12.36367,12.518657
15.51064,15.603654
16.14711,15.875793
15.5139,15.473604
11.91223,11.891785
14.0298,14.060678
10.53997,10.55181
13.46191,13.489067
16.04969,16.128584
14.26899,14.440548
11.36583,11.759969
12.70054,12.790242
14.95689,14.698469
16.33105,15.980577
15.69975,15.692673
15.9988,16.202631
11.83795,11.806353
13.52232,13.667949
15.2173,15.739891
15.70465,15.570976
14.91172,14.976722
13.17565,13.123585
12.66816,12.720863
14.09566,14.126318
15.66737,15.928153
11.83713,12.158175
13.71824,13.578397
17.32072,17.327211
14.2494,14.305734
17.35936,17.19423
14.91988,14.441951
13.39279,13.321935
14.69321,14.47499
16.96398,16.81105
12.54244,12.618338
14.0611,13.998657
13.37075,13.544343
15.40968,15.45571
11.60148,11.686551
12.24067,11.954934
12.04012,11.820906
16.12017,15.972683
12.57618,12.557582
16.37459,16.350319
16.54412,16.20474
11.84175,12.107753
14.44913,14.277331
13.67715,13.581858
12.03931,12.20559
13.72205,13.801672
9.50785,9.464402
13.2864,13.204057
15.74411,15.941577
14.1343,14.021859
13.26354,13.571049
13.86409,13.908801
12.9653,12.901019
16.2886,16.163643
14.03606,14.027119
14.28396,14.201109
12.19305,12.288602
11.86407,11.868112
14.72886,14.969882
15.47445,15.357316
15.16261,15.079637
12.18462,12.1019945
15.71091,15.893007
12.7321,12.739863
17.32127,17.404968
13.20639,13.050451
13.58708,13.32944
14.8192,14.807231
13.38163,13.530702
13.11088,13.134512
12.50571,12.39307
13.27606,13.38907
11.08746,10.99709
15.60397,15.597377
11.02324,11.227766
16.10602,15.966637
15.68043,15.549679
12.48013,12.37295
15.10192,15.040769
14.34899,14.4152975
15.40506,15.176121
14.65185,14.573333
13.66953,13.531301
13.59905,13.612438
15.90003,15.700692
12.56693,12.489753
12.04883,12.0691805
15.31009,15.236239
14.09375,14.066859
13.13429,12.885761
14.08559,14.070939
14.32505,14.352045
16.05051,15.795094
14.09157,14.040328
15.69404,15.459321
14.0211,14.094196
13.80858,13.816865
13.58028,13.60754
12.24366,12.260842
16.05812,16.114275
15.42873,15.161141
15.96887,15.823618
14.1177,14.463553
13.39116,13.462214
16.07227,15.823051
12.42489,12.611184
15.18193,14.82146
12.054,12.132596
15.55173,15.742567
