Actual,Predicted
13.16694,13.232867942007744
15.69431,15.891139637494373
16.07663,16.070544880689816
13.87144,14.047031542873581
14.00287,14.344243016552912
15.05104,15.484358598184837
13.93511,13.956041820548204
13.53456,13.505771934721317
14.80587,14.666819658471622
12.90054,12.845740689280696
15.87037,15.748450906088358
15.37295,15.34143533482263
14.84505,14.988776107447581
15.47281,15.579047628919895
14.2026,14.342509143561209
14.48831,14.570545460358865
17.22358,17.207197430741626
15.37349,15.493652173693249
13.54245,13.491086234560882
15.77431,16.025116770992287
13.02245,13.227698052550108
13.58109,13.663022616566312
13.34953,13.537096452618858
11.83386,12.147289487638048
15.2573,15.306130283652681
14.70845,15.075801644363823
11.78869,11.61461422747586
16.1433,16.087091952376838
10.68501,11.145575088066405
15.36478,15.538185756931991
16.77732,16.880630081771898
13.03061,13.298331076355124
16.30248,16.47284301165682
13.99089,14.127585588939642
13.2698,13.560689038284895
12.68367,13.013579783851892
14.08749,14.141987826357944
11.92502,12.20997234748886
16.435,16.3838962131748
15.48016,15.385829360768149
15.82329,15.93557154542405
11.56638,11.652605727420294
16.17459,16.321177257710993
11.72556,12.383433723951185
16.08261,16.009393193749542
13.97593,13.99750643213018
10.8529,11.044051673718663
14.64641,14.399218769751926
13.21946,13.170376077473437
13.70817,13.798841861419547
14.15334,14.298717790569942
15.96289,16.009353308789574
12.86979,13.066745450096423
17.38739,17.618376472657182
12.78244,12.845230387231446
15.95472,16.235168612551405
16.18547,16.293239437689834
16.14955,16.32476789635473
14.5928,14.662234109839204
14.58872,14.516253250667944
15.77105,16.087798226977075
14.0562,14.560657274188843
14.46682,14.963148855659112
14.86736,14.861446127310366
12.43142,12.311958719628839
16.82412,16.646165284098608
16.69514,16.90449928403028
15.09403,15.099526919803047
14.16994,14.382620732115477
12.54979,12.743709111450812
12.57156,12.870747512753331
12.68312,12.878841778768322
13.12912,13.289467882300517
14.20396,14.43197903203195
14.58165,14.509426692318705
14.21511,14.226833743394192
13.07333,13.302803573831952
14.34518,14.586372223900515
10.64446,10.509446825498774
11.35903,11.730540112454111
15.42111,15.537499896673014
11.2295,11.23452808438061
14.93185,15.063141525924715
11.93781,12.395895581659362
10.86406,11.755395323615257
14.27471,14.469991605766937
17.4829,17.437618347500212
14.77784,15.017725045375176
15.14846,15.065887880938813
13.75443,14.22684000152808
12.06434,12.069695026134326
15.91962,16.027147851874062
15.43308,15.596245307540254
12.10761,11.899665249077213
12.79877,13.101740552871018
14.40369,14.519563157699421
15.79717,15.916547454060133
14.0445,14.079856791627972
15.72179,15.926754432561697
11.77237,11.800244616846346
16.49187,16.827985230512652
14.26436,14.356655176329111
16.07173,15.936472607879328
15.9218,16.126670980170992
12.94544,13.044845572879659
12.20992,12.771464720023939
15.18056,15.410151935514389
13.16912,13.50196262839033
13.72504,14.21602431929415
14.35525,14.322163883404194
14.15117,14.221536415840939
14.58655,14.73856372598789
12.70952,12.786670845873525
11.60583,11.83209811906631
15.83527,16.134146490101287
14.00151,13.893746290208263
15.45948,15.560816036095485
14.70981,14.844662392055577
16.12833,16.224428192095175
14.45403,14.57612911490509
14.05538,14.472982228983764
12.54571,12.473518342645256
14.20722,14.25606132640506
13.623,13.792353325075549
14.95879,15.118634351660766
12.06026,12.28952400789408
14.09157,14.030602608648795
16.27527,16.342697460414673
14.20096,14.557381127916475
15.17295,15.3905780584717
14.38409,14.429303051317596
14.4328,14.451814246404757
14.68532,14.496556907539478
15.29676,15.455299177075045
11.84611,11.592019540292371
15.22873,15.23013130795773
13.12286,13.011543460368198
17.0029,17.16481637989888
11.99931,12.006685205936112
12.30734,12.17341916285192
17.29215,17.226796399540213
16.23445,16.27609825062273
16.77242,17.07468966392704
13.41456,14.00483027233198
12.71659,12.78177594923973
11.80692,11.886254788375131
11.83196,11.863701711692734
14.15253,14.293924509465583
16.58357,16.543348873377237
14.36913,14.50633410037699
14.15906,14.268493926357399
12.15142,12.205350606992695
13.30898,13.546226355195245
14.39362,14.422940214449088
15.31281,15.406833610665927
14.29892,14.500584424388517
14.21811,14.422737396922688
14.3977,14.486766351531994
12.45128,12.723183115752413
14.12477,14.129013191640318
15.45594,15.5245293521697
16.00914,16.262098499456428
15.42519,15.493605145281556
15.25594,15.325972609712789
12.20802,12.463029058735088
15.87173,15.908199596698548
15.86384,15.879351703386417
16.37078,16.419372239426384
14.71906,14.904105545328761
12.23659,12.373571992036526
16.68044,16.700196649919476
17.62603,17.647470636120484
16.42112,16.20503579789858
13.27606,13.42653767934937
14.16287,14.136003289835257
14.80369,15.024056525110542
14.74981,14.776953204503535
16.52969,16.458106239934864
13.46681,13.863118939770533
14.75743,15.095231262320658
14.18409,14.234056342696064
14.59226,14.599449220369777
15.40968,15.364133527863736
12.86653,12.916556958589249
15.40125,15.404271643803641
14.97403,15.036239796973732
14.88587,14.906807790674156
15.7169,15.540577007981408
15.49268,15.802293077257369
12.3389,12.635640873725617
11.39876,11.659447045919304
15.84234,15.696130453297203
